200,JA,611,06/2012,2015-01-01
300,JV,611,06/2012,2015-01-01
500,JA,B13,06/2013,
500,JV,B13,06/2013,
100,VU,B13,06/2013,385989159425
100,VU,B13,06/2013,385989159475,
500,BS,B13,06/2012,385989167422,
300,MM,112,06/2013
100,VU,312,06/2013
100,VU,312,06/2013,385989159475//0,75
50,VU,312,06/2013,385989159450//50
250,VU,312,06/2013,385989159425//250
150,LK,312,06/2013
100,BS,512,06/2013,//1dcl
100,BS,512,06/2013,385989167420 //0,25
100,BS,512,06/2013,385989167421 //0,5
100,BS,512,06/2013,385989167422 //0,75
200,VU,A12,06/2014,385989159475//0,75
200,VU,A12,06/2014,385989159425//0,25
200,VU,A12,06/2014,385989159410//0,1
200,MM,B12,06/2014,//0,1
300,JA,313,06/2014
300,JV,313,06/2014
300,VU,313,06/2014,385989159475
100,AD,413,06/2014
300,IG,413,06/2014
200,VU,613,06/2014,385989159425//0,25
200,VU,613,06/2014,385989159475//0,75
200,VU,613,06/2014,385989159425//0,25
200,VU,613,06/2014,385989159475//0,75
500,VU,613,06/2014,385989159410//0,1
100,AD,613,06/2014
500,VU,A13,06/2014,385989159475//0,75
500,VU,B13,06/2015,385989159410//0,1
500,VU,B13,06/2015,385989159425//0,25
500,VU,B13,06/2015,385989159475//0,75
70,VU,B13,06/2014,385989159475//0,75
200,VU,B13,06/2015,385989159450//0,50
400,IG,214,06/2015
400,JA,214,06/2015
400,JV,214,06/2015
200,VU,614,06/2015,385989159475//0,75
100,VU,614,06/2015,385989159450//0,50
300,VU,614,06/2015,385989159425//0,25
200,SVK,614,06/2015,385989159475//0,75 SVK
100,SVK,614,06/2015,385989159450//0,50 SVK
200,JA,814,06/2015
100,VU,614,06/2015,385989159425//0,25
1000,JA,B14,06/2016,385989159425//0,25
500,JV,415,06/2016
400,IG,415,06/2016
1000,AM,A15,06/2017
200,UP,A15,06/2017
150,SVK,C15,06/2017,385989159475//0,75 SVK
20,SVK,C15,06/2017,385989159450//0,50 SVK
40,SVK,C15,06/2017,385989159425//0,25 SVK
200,VU,C15,06/2017,385989159475//0,75
100,VU,C15,06/2017,385989159450//0,50
200,VU,C15,06/2017,385989159425//0,25
1000,JA,216,06/2017
500,JV,216,06/2017
200,UP,416,06/2017,2016-04-09
400,IG,416,06/2017,2016-04-09
300,VU,516,06/2017,2016-05-21,3859891594252//0,25
300,VU,516,06/2017,2016-05-21,3859891594504//0,5
100,VU,516,06/2017,2016-05-21,3859891594757//0,75
500,VU,1116,0B/2017,2016-11-08,3859891594757
1000,JA,172,02/2017,2017-02-16,
1000,JA,172,06/2017,2017-02-16,
1000,JV,173,06/2018,2017-03-10,
500,VU,173,06/2018,2017-03-10,
1000,JA,184,06/2019,2018-04-12,
500,JV,184,06/2019,2018-04-12,
700,IG,184,06/2019,2018-04-12,
200,VU,184,06/2019,2018-04-12,
300,VU,187,06/2019,2018-07-14,
300,VU,193,06/2019,2019-03-19,
500,JV,194,06/2019,2019-04-04,
500,JA,194,06/2019,2019-04-04,
200,IG,194,06/2019,2019-04-04,
500,JA,194,06/2019,2019-04-08,
500,JV,194,06/2019,2019-04-08,
500,JV,197,06/2020,2019-07-25,
300,VU,201,06/2021,2020-01-22,
500,JV,206,06/2021,2020-06-02,
1000,JA,218,06/2022,2021-08-02,
1000,VU,2111,06/2022,2021-11-14,
2000,JV,221,06/2022,2022-01-26,
1000,VU,2212,06/2022,2022-12-19,
2000,JA,233,06/2023,2023-03-09,